tag,diffuse_frac,power,bulge,lip,pitch,depth,aspect,seal_frac,theta,rho,control
P050_B00_L00_p0750_d40,d76,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,-40.0,0.00343704828992486,0.04993201047182083
P050_B00_L00_p0750_d40,d76,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,20.0,0.002679216442629695,0.04991370439529419
P050_B00_L00_p0750_d40,d76,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,40.0,0.003320155432447791,0.049932122230529785
P050_B00_L00_p0750_d40,d100,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,0.0,0.0023742541670799255,0.049917060881853104
P050_B00_L00_p0750_d40,d100,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,-20.0,0.002713581547141075,0.049912191927433014
P050_B00_L00_p0750_d40,d100,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,-40.0,0.0033740191720426083,0.04991054907441139
P050_B00_L00_p0750_d40,d100,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,20.0,0.002659171586856246,0.049912773072719574
P050_B00_L00_p0750_d40,d100,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,40.0,0.003281218698248267,0.04991024360060692
P050_B00_L00_p0750_d50,d00,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,0.0,0.002619784325361252,0.049913421273231506
P050_B00_L00_p0750_d50,d00,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,-20.0,0.0028193595353513956,0.04990344122052193
P050_B00_L00_p0750_d50,d00,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,-40.0,0.0034954827278852463,0.05000114068388939
P050_B00_L00_p0750_d50,d00,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,20.0,0.0026912353932857513,0.049903787672519684
P050_B00_L00_p0750_d50,d00,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,40.0,0.0033143777400255203,0.05000196769833565
P050_B00_L00_p0750_d50,d76,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,0.0,0.0021082195453345776,0.04991026222705841
P050_B00_L00_p0750_d50,d76,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,-20.0,0.0023933835327625275,0.049898386001586914
P050_B00_L00_p0750_d50,d76,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,-40.0,0.003044148674234748,0.04992646351456642
P050_B00_L00_p0750_d50,d76,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,20.0,0.0023232796229422092,0.049899809062480927
P050_B00_L00_p0750_d50,d76,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,40.0,0.002970385132357478,0.04992539435625076
P050_B00_L00_p0750_d50,d100,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,0.0,0.0021500778384506702,0.04990965873003006
P050_B00_L00_p0750_d50,d100,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,-20.0,0.0024964793119579554,0.04989706352353096
P050_B00_L00_p0750_d50,d100,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,-40.0,0.003171241143718362,0.04990227520465851
P050_B00_L00_p0750_d50,d100,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,20.0,0.0024262273218482733,0.04989847168326378
P050_B00_L00_p0750_d50,d100,0.5,0.0,0.0,7.5,50.0,6.666666666666667,0.521,40.0,0.0031284617725759745,0.049900926649570465
P050_B00_L00_p1100_d20,d00,0.5,0.0,0.0,11.0,20.0,1.8181818181818181,0.521,0.0,0.008837293833494186,0.04997323080897331
P050_B00_L00_p1100_d20,d00,0.5,0.0,0.0,11.0,20.0,1.8181818181818181,0.521,-20.0,0.023575324565172195,0.04997199401259422
P050_B00_L00_p1100_d20,d00,0.5,0.0,0.0,11.0,20.0,1.8181818181818181,0.521,-40.0,0.023504454642534256,0.04999908432364464
P050_B00_L00_p1100_d20,d00,0.5,0.0,0.0,11.0,20.0,1.8181818181818181,0.521,20.0,0.024256695061922073,0.049971260130405426
P050_B00_L00_p1100_d20,d00,0.5,0.0,0.0,11.0,20.0,1.8181818181818181,0.521,40.0,0.022601107135415077,0.05000055581331253
P050_B00_L00_p1100_d20,d76,0.5,0.0,0.0,11.0,20.0,1.8181818181818181,0.521,0.0,0.005723632872104645,0.04997242987155914
