tag,material,power,bulge,pitch,depth,aspect,theta,rho,control
P015_B25_p0375_d30,glossy,0.15,0.25,3.75,30.0,8.0,40.0,0.00010488486441317946,0.0496145598590374
P015_B25_p0375_d30,fresnel,0.15,0.25,3.75,30.0,8.0,0.0,0.0023207871709018946,0.049666546285152435
P015_B25_p0375_d30,fresnel,0.15,0.25,3.75,30.0,8.0,-20.0,0.0023990629706531763,0.04963764548301697
P015_B25_p0375_d30,fresnel,0.15,0.25,3.75,30.0,8.0,-40.0,0.003064690390601754,0.049723997712135315
P015_B25_p0375_d30,fresnel,0.15,0.25,3.75,30.0,8.0,20.0,0.002437976421788335,0.049646854400634766
P015_B25_p0375_d30,fresnel,0.15,0.25,3.75,30.0,8.0,40.0,0.003050618339329958,0.049734119325876236
P015_B25_p0375_d40,glossy,0.15,0.25,3.75,40.0,10.666666666666666,0.0,7.9712612205185e-05,0.04964824020862579
P015_B25_p0375_d40,glossy,0.15,0.25,3.75,40.0,10.666666666666666,-20.0,7.525690307375044e-05,0.049624718725681305
P015_B25_p0375_d40,glossy,0.15,0.25,3.75,40.0,10.666666666666666,-40.0,8.880461246008053e-05,0.049621205776929855
P015_B25_p0375_d40,glossy,0.15,0.25,3.75,40.0,10.666666666666666,20.0,7.48221282265149e-05,0.049615152180194855
P015_B25_p0375_d40,glossy,0.15,0.25,3.75,40.0,10.666666666666666,40.0,8.79096332937479e-05,0.04962705820798874
P015_B25_p0375_d40,fresnel,0.15,0.25,3.75,40.0,10.666666666666666,0.0,0.001845960388891399,0.049672167748212814
P015_B25_p0375_d40,fresnel,0.15,0.25,3.75,40.0,10.666666666666666,-20.0,0.0019967290572822094,0.04965205118060112
P015_B25_p0375_d40,fresnel,0.15,0.25,3.75,40.0,10.666666666666666,-40.0,0.002678551245480776,0.04973310977220535
P015_B25_p0375_d40,fresnel,0.15,0.25,3.75,40.0,10.666666666666666,20.0,0.0019768611527979374,0.04964293912053108
P015_B25_p0375_d40,fresnel,0.15,0.25,3.75,40.0,10.666666666666666,40.0,0.002705514430999756,0.049739591777324677
P015_B25_p0375_d50,glossy,0.15,0.25,3.75,50.0,13.333333333333334,0.0,8.108728798106313e-05,0.04964536428451538
P015_B25_p0375_d50,glossy,0.15,0.25,3.75,50.0,13.333333333333334,-20.0,7.408438978018239e-05,0.0496186725795269
P015_B25_p0375_d50,glossy,0.15,0.25,3.75,50.0,13.333333333333334,-40.0,8.643884939374402e-05,0.049618132412433624
P015_B25_p0375_d50,glossy,0.15,0.25,3.75,50.0,13.333333333333334,20.0,7.292594091268256e-05,0.0496184378862381
P015_B25_p0375_d50,glossy,0.15,0.25,3.75,50.0,13.333333333333334,40.0,8.616186096332967e-05,0.04961641505360603
P015_B25_p0375_d50,fresnel,0.15,0.25,3.75,50.0,13.333333333333334,0.0,0.001620182883925736,0.04967057332396507
P015_B25_p0375_d50,fresnel,0.15,0.25,3.75,50.0,13.333333333333334,-20.0,0.0017977101961150765,0.0496467649936676
P015_B25_p0375_d50,fresnel,0.15,0.25,3.75,50.0,13.333333333333334,-40.0,0.0025782070588320494,0.04972498491406441
P015_B25_p0375_d50,fresnel,0.15,0.25,3.75,50.0,13.333333333333334,20.0,0.0017560377018526196,0.049646686762571335
P015_B25_p0375_d50,fresnel,0.15,0.25,3.75,50.0,13.333333333333334,40.0,0.0026031772140413523,0.049726713448762894
P015_B25_p0550_d20,glossy,0.15,0.25,5.5,20.0,3.6363636363636362,0.0,0.00010528488928684965,0.04989498108625412
P015_B25_p0550_d20,glossy,0.15,0.25,5.5,20.0,3.6363636363636362,-20.0,0.00014365065726451576,0.049891725182533264
P015_B25_p0550_d20,glossy,0.15,0.25,5.5,20.0,3.6363636363636362,-40.0,0.0006417552358470857,0.04988604784011841
P015_B25_p0550_d20,glossy,0.15,0.25,5.5,20.0,3.6363636363636362,20.0,0.00014363537775352597,0.049890756607055664
P015_B25_p0550_d20,glossy,0.15,0.25,5.5,20.0,3.6363636363636362,40.0,0.0006272851605899632,0.04988027364015579
P015_B25_p0550_d20,fresnel,0.15,0.25,5.5,20.0,3.6363636363636362,0.0,0.004776163958013058,0.04990154132246971
P015_B25_p0550_d20,fresnel,0.15,0.25,5.5,20.0,3.6363636363636362,-20.0,0.005233120638877153,0.04989975318312645
P015_B25_p0550_d20,fresnel,0.15,0.25,5.5,20.0,3.6363636363636362,-40.0,0.005670847371220589,0.04992044344544411
P015_B25_p0550_d20,fresnel,0.15,0.25,5.5,20.0,3.6363636363636362,20.0,0.005269462242722511,0.04989910125732422
P015_B25_p0550_d20,fresnel,0.15,0.25,5.5,20.0,3.6363636363636362,40.0,0.00565752200782299,0.049915045499801636
P015_B25_p0550_d30,glossy,0.15,0.25,5.5,30.0,5.454545454545454,0.0,6.879558350192383e-05,0.04983515664935112
P015_B25_p0550_d30,glossy,0.15,0.25,5.5,30.0,5.454545454545454,-20.0,7.59931790526025e-05,0.049830563366413116
P015_B25_p0550_d30,glossy,0.15,0.25,5.5,30.0,5.454545454545454,-40.0,0.00014800809731241316,0.049819573760032654
